Record ID,Date,Country,City,Temperature (°C),Humidity (%),Precipitation (mm),Air Quality Index (AQI),Extreme Weather Events,Climate Classification,Climate_Zone,Biome_Type,Heat_Index,Wind_Speed,Wind_Direction,Season,Population_Exposure,Economic_Impact_Estimate,Infrastructure_Vulnerability_Score
GE_0001,4/5/2024,Georgia,Tbilisi,12.0,72,1.6,79,None,Cfa,Temperate,Urban,12.0,12.7,353,Spring,74400,0,42
GE_0002,5/5/2024,Georgia,Batumi,5.0,83,0,61,Flood,Cfb,Temperate,Urban,5.0,4.2,187,Spring,61465,0,99
GE_0003,6/5/2024,Georgia,Kutaisi,8.7,NA,0,43,None,Cfa,Temperate,Shrubland,8.7,12.9,203,Spring,21946,0,55
GE_0004,2024-05-07,Georgia,Tbilisi,10.6,41,0,61,None,Cfa,Temperate,Shrubland,10.6,12.3,265,Spring,149593,0,51
GE_0005,8/5/2024,Georgia,Batumi,2.2,70,8.7,87,None,Cfb,Temperate,Forest,2.2,3.8,27,Spring,13625,0,62
GE_0006,9/5/2024,Georgia,Kutaisi,3.5,50,0,95,None,Cfb,Humid subtropical,Shrubland,3.5,11.2,28,Spring,11645,0,50
GE_0007,10/5/2024,Georgia,Tbilisi,11.8,43,2.8,60,Flood,Cfa,Humid subtropical,Shrubland,11.8,11.9,67,Spring,427335,86450,68
GE_0008,11/5/2024,Georgia,Batumi,8.0,56,0,47,None,Cfa,Humid subtropical,Shrubland,8.0,6.0,254,Spring,NA,0,43
GE_0009,12/5/2024,Georgia,Kutaisi,6.2,38,3.4,66,None,Cfb,Temperate,Urban,6.2,7.2,357,Spring,10354,0,57
GE_0010,13/5/2024,Georgia,Tbilisi,6.2,36,11.7,91,Flood,Cfa,Humid subtropical,Forest,6.2,12.0,290,Spring,308655,98843,68
GE_0011,14/5/2024,Georgia,Batumi,5.4,79,2.6,92,Storm,Cfb,Humid subtropical,Forest,5.4,30.0,156,Spring,37064,1660017,81
GE_0012,15/5/2024,Georgia,Kutaisi,10.0,43,0,55,None,Cfb,Humid subtropical,Urban,10.0,8.1,252,Spring,9133,0,56
GE_0013,16/5/2024,Georgia,Tbilisi,10.7,65,25.7,60,None,Cfb,Humid subtropical,Shrubland,10.7,11.9,214,Spring,159012,0,45
GE_0014,17/5/2024,Georgia,Batumi,8.1,51,0,37,None,Cfb,Humid subtropical,Urban,8.1,12.6,84,Spring,22726,9116,45
GE_0015,18/5/2024,Georgia,Kutaisi,2.2,69,0,82,None,Cfa,Temperate,Forest,2.2,13.4,29,Spring,8352,0,48
GE_0016,19/5/2024,Georgia,Tbilisi,6.6,81,0,51,None,Cfa,Humid subtropical,Shrubland,6.6,3.9,75,Spring,77975,0,64
GE_0017,20/5/2024,Georgia,Batumi,2.7,79,0,47,None,Cfa,Humid subtropical,Forest,2.7,11.2,311,Spring,18563,0,40
GE_0018,21/5/2024,Georgia,Kutaisi,9.2,77,3.6,53,None,Cfa,Temperate,Shrubland,9.2,5.3,243,Spring,13355,38602,46
GE_0019,22/5/2024,Georgia,Tbilisi,10.1,61,0,56,None,Cfb,Temperate,Urban,10.1,6.3,207,Spring,134821,0,55
GE_0020,23/5/2024,Georgia,Batumi,7.6,61,0,55,None,Cfa,Temperate,Forest,7.6,9.5,197,Spring,15759,0,38
GE_0021,24/5/2024,Georgia,Kutaisi,10.9,65,0,95,Storm,Cfa,Temperate,Shrubland,10.9,,322,Spring,27567,237580,87
GE_0022,25/5/2024,Georgia,Tbilisi,10.3,41,0,97,None,Cfb,Temperate,Urban,10.3,13.1,90,Spring,150389,0,53
GE_0023,26/5/2024,Georgia,Batumi,6.4,94,,NA,None,Cfb,Humid subtropical,Urban,NA,8.9,299,Spring,22987,0,62
GE_0024,27/5/2024,Georgia,Kutaisi,11.2,37,0,73,None,Cfb,Temperate,Forest,11.2,7.5,172,Spring,11941,0,41
GE_0025,28/5/2024,Georgia,Tbilisi,3.4,59,0,55,Dust Storm,Cfb,Humid subtropical,Urban,3.4,7.0,74,Spring,248929,0,88
GE_0026,29/5/2024,Georgia,Batumi,2.6,54,19.6,55,None,Cfb,Temperate,Urban,2.6,3.3,337,Spring,9472,0,53
GE_0027,30/5/2024,Georgia,Kutaisi,5.9,75,0,56,None,Cfa,Humid subtropical,Shrubland,5.9,14.5,350,Spring,17144,0,39
GE_0028,31/5/2024,Georgia,Tbilisi,11.4,63,3.9,58,None,Cfa,Humid subtropical,Forest,11.4,13.0,119,Spring,"152,490",0,46
GE_0029,1/6/2024,Georgia,Batumi,24.3,52,49.7,89,Heatwave,Cfb,Temperate,Urban,24.3,2.7,341,Summer,26471,269268,51
GE_0030,2/6/2024,Georgia,Kutaisi,25.0,43,,100,None,NA,Humid subtropical,,25.0,11.5,331,Summer,10034,0,58
GE_0031,3/6/2024,Georgia,Tbilisi,NA,NA,0,75,None,Cfb,,Shrubland,22.7,9.6,296,Summer,155740,0,55
GE_0032,4/6/2024,Georgia,Batumi,28.3,67,0,94,None,Cfa,Humid subtropical,Urban,30.8,8.3,117,Summer,15894,0,42
GE_0033,5/6/2024,Georgia,Kutaisi,26.5,81,18.5,92,None,Cfa,Temperate,Urban,26.5,3.3,329,Summer,19041,0,55
GE_0034,6/6/2024,Georgia,Tbilisi,26.1,67,NA,74,None,Cfa,Temperate,Forest,26.1,11.6,117,Summer,134533,0,NA
GE_0035,7/6/2024,Georgia,Batumi,31.3,71,0,74,None,Cfa,Temperate,Forest,38.7,3.6,271,Summer,7811,0,61
GE_0036,8/6/2024,Georgia,Kutaisi,23.1,75,0,77,None,Cfb,Temperate,Urban,23.1,3.7,86,Summer,19135,25336,49
GE_0037,9/6/2024,Georgia,Tbilisi,31.1,60,1.4,78,NA,Cfb,Temperate,Urban,35.1,6.5,178,,133381,0,
GE_0038,10/6/2024,Georgia,Batumi,31.8,78,0,42,None,Cfb,Temperate,Forest,42.8,9.8,263,Summer,20907,0,45
GE_0039,2024-06-11,Georgia,Kutaisi,26.0,74,0,58,None,Cfa,Temperate,Shrubland,26.0,14.8,38,Summer,20949,40793,44
GE_0040,12/6/2024,Georgia,Tbilisi,31.5,63,0,63,None,Cfb,Temperate,Shrubland,,,103,Summer,84944,0,59
GE_0041,13/6/2024,Georgia,Batumi,26.0,63,0,41,None,Cfb,Humid subtropical,Urban,26.0,4.5,311,Summer,17630,0,36
GE_0042,14/6/2024,Georgia,Kutaisi,22.4,63,0,98,None,Cfa,Humid subtropical,Forest,22.4,4.1,145,Summer,11213,1881,47
GE_0043,15/6/2024,Georgia,Tbilisi,30.8,67,0,71,None,Cfa,Temperate,Forest,36.2,12.6,236,Summer,138711,0,NA
GE_0044,2024-06-16,Georgia,Batumi,24.0,55,58.1,80,None,Cfb,Temperate,Shrubland,24.0,12.4,257,Summer,18347,0,62
GE_0045,17/6/2024,Georgia,Kutaisi,30.4,46,0,60,None,Cfa,Humid subtropical,Forest,31.0,13.4,118,Summer,11070,0,53
GE_0046,18/6/2024,Georgia,Tbilisi,30.4,53,27.9,67,None,Cfb,Humid subtropical,Forest,32.2,8.9,250,Summer,141473,0,54
GE_0047,19/6/2024,Georgia,Batumi,22.3,61,0,66,None,Cfb,Temperate,Shrubland,22.3,3.5,41,Summer,11270,0,43
GE_0048,20/6/2024,Georgia,Kutaisi,23.6,54,0,92,None,Cfb,Temperate,Urban,23.6,8.8,310,Summer,9077,0,36
GE_0049,21/6/2024,Georgia,Tbilisi,31.7,83,0,56,Heatwave,Cfa,Temperate,Forest,44.5,10.6,122,Summer,438063,1322926,66
GE_0050,22/6/2024,Georgia,Batumi,26.5,71,0,NA,None,,Humid subtropical,Forest,26.5,9.6,248,Summer,14691,,56
GE_0051,23/6/2024,Georgia,Kutaisi,29.4,39,4.1,69,None,Cfb,Humid subtropical,Forest,28.9,9.3,66,Summer,10073,0,64
GE_0052,24/6/2024,Georgia,Tbilisi,26.9,49,0,58,None,Cfb,Temperate,Urban,26.9,14.7,311,Summer,85717,27175,53
