Record ID,Date,Country,City,Temperature (°C),Humidity (%),Precipitation (mm),Air Quality Index (AQI),Extreme Weather Events,Climate Classification,Climate_Zone,Biome_Type,Heat_Index,Wind_Speed,Wind_Direction,Season,Population_Exposure,Economic_Impact_Estimate,Infrastructure_Vulnerability_Score
IR_0001,4/5/2024,Iran,Tehran,8.7,75,0,133,None,BWk,Arid,Desert,8.7,9.1,93,Spring,980214,30560,58
IR_0002,5/5/2024,Iran,Isfahan,9.6,73,0,109,None,BWk,Semi-arid,Steppe,9.6,10.3,245,Spring,"212,462","6,113",49
IR_0003,6/5/2024,Iran,Mashhad,17.3,43,0,,None,Csa,Arid,Steppe,17.3,14.4,220,Spring,274816,43844,60
IR_0004,7/5/2024,Iran,Tehran,11.4,77,0,130,None,Csa,Semi-arid,Urban,11.4,11.2,76,Spring,809239,0,62
IR_0005,8/5/2024,Iran,Isfahan,10.7,49,1.2,105,None,BSk,Semi-arid,Steppe,10.7,9.4,165,Spring,275155,0,45
IR_0006,9/5/2024,Iran,Mashhad,10.0,52,0,103,Flood,BSk,Arid,Urban,10.0,2.3,77,Spring,865169,495833,44
IR_0007,10/5/2024,Iran,Tehran,18.3,80,0,110,None,BWk,Arid,Steppe,18.3,6.3,154,Spring,472378,0,48
IR_0008,11/5/2024,Iran,Isfahan,10.2,70,0,65,None,BWk,Semi-arid,Urban,10.2,14.5,359,Spring,151488,0,53
IR_0009,12/5/2024,Iran,Mashhad,18.0,41,0,77,None,BSk,Arid,Urban,18.0,11.5,243,Spring,338633,0,56
IR_0010,13/5/2024,Iran,Tehran,10.3,68,0,78,None,BWk,Arid,Urban,10.3,2.2,4,Spring,758971,0,42
IR_0011,14/5/2024,Iran,Isfahan,18.2,38,0,101,None,BSk,Semi-arid,Urban,18.2,5.5,240,Spring,295721,0,58
IR_0012,15/5/2024,Iran,Mashhad,17.2,54,0,70,None,BWk,Arid,Urban,17.2,14.3,222,Spring,400527,0,37
IR_0013,16/5/2024,Iran,Tehran,14.3,69,0,111,None,Csa,Arid,Desert,14.3,14.2,106,Spring,1161960,0,50
IR_0014,17/5/2024,Iran,Isfahan,10.8,72,2.5,105,None,BSk,Arid,Steppe,10.8,7.9,202,Spring,132184,0,36
IR_0015,18/5/2024,Iran,Mashhad,18.2,36,0.7,66,None,BSk,Arid,Urban,18.2,7.7,196,Spring,445785,0,65
IR_0016,19/5/2024,Iran,Tehran,10.6,NA,2.1,86,Dust Storm,Csa,Semi-arid,Steppe,10.6,14.0,NA,,1283711,53825,64
IR_0017,20/5/2024,Iran,Isfahan,14.0,43,17.2,66,None,BSk,Arid,Urban,14.0,12.8,290,Spring,266317,0,53
IR_0018,21/5/2024,Iran,Mashhad,11.4,40,0,117,None,BWk,Semi-arid,Steppe,11.4,3.7,63,Spring,208654,12850,59
IR_0019,22/5/2024,Iran,Tehran,10.6,60,0,114,None,Csa,Semi-arid,Urban,10.6,14.8,192,Spring,985321,20022,55
IR_0020,23/5/2024,Iran,Isfahan,,63,0,109,Storm,Csa,Semi-arid,Desert,16.2,15.3,,Spring,330356,145818,
IR_0021,24/5/2024,Iran,Mashhad,11.9,42,0,75,Flood,Csa,Semi-arid,Steppe,11.9,4.7,265,Spring,561183,NA,64
IR_0022,25/5/2024,Iran,Tehran,12.0,76,23.4,88,None,BSk,Semi-arid,Desert,12.0,9.8,346,Spring,550655,0,39
IR_0023,26/5/2024,Iran,Isfahan,17.2,67,0,66,None,BWk,Semi-arid,Steppe,17.2,3.2,226,Spring,236613,48544,35
IR_0024,27/5/2024,Iran,Mashhad,13.2,59,5.0,74,None,BWk,Arid,Urban,13.2,5.2,301,Spring,314443,0,60
IR_0025,28/5/2024,Iran,Tehran,9.3,63,0,98,None,Csa,Arid,Urban,9.3,9.9,303,Spring,473057,0,37
IR_0026,29/5/2024,Iran,Isfahan,16.8,37,0,78,Flood,Csa,Arid,Urban,16.8,12.4,201,Spring,460231,546932,62
IR_0027,30/5/2024,Iran,Mashhad,14.1,37,0,118,None,BWk,Semi-arid,Urban,14.1,7.5,26,Spring,310979,0,54
IR_0028,31/5/2024,Iran,Tehran,16.4,81,0,118,None,BSk,Semi-arid,Urban,16.4,,198,Spring,726156,42030,52
IR_0029,1/6/2024,Iran,Isfahan,33.7,60,4.1,61,None,BWk,Arid,Steppe,41.4,9.0,245,,NA,32931,40
IR_0030,2/6/2024,Iran,Mashhad,37.7,68,3.7,81,Drought,BWk,Semi-arid,,55,13.6,3,Summer,NA,93462,90
IR_0031,3/6/2024,Iran,Tehran,39.7,61,2.0,134,Heatwave,BSk,Arid,Steppe,55,8.2,55,Summer,2308100,433936,55
IR_0032,4/6/2024,Iran,Isfahan,40.9,48,2.3,60,None,BWk,Semi-arid,Urban,55,13.7,207,Summer,246317,0,62
IR_0033,5/6/2024,Iran,Mashhad,37.1,48,0,88,None,Csa,Semi-arid,Desert,45.0,12.6,289,Summer,351199,0,43
IR_0034,6/6/2024,Iran,Tehran,36.7,65,0,96,Heatwave,BSk,Arid,Desert,53.6,6.1,300,Summer,2264763,87773,67
IR_0035,7/6/2024,Iran,Isfahan,36.8,54,16.1,112,Heatwave,Csa,Semi-arid,Steppe,47.3,10.8,155,Summer,174377,32883,42
IR_0036,8/6/2024,Iran,Mashhad,32.9,61,1.1,69,None,BWk,Arid,Steppe,39.6,4.5,338,Summer,408601,0,46
