Record ID,Date,Country,City,Temperature (°C),Humidity (%),Precipitation (mm),Air Quality Index (AQI),Extreme Weather Events,Climate Classification,Climate_Zone,Biome_Type,Heat_Index,Wind_Speed,Wind_Direction,Season,Population_Exposure,Economic_Impact_Estimate,Infrastructure_Vulnerability_Score
KZ_0001,4/5/2024,Kazakhstan,Almaty,-4.5,79,0,108,None,BSk,Semi-arid,Urban,-4.5,10.7,176,Spring,195522,0,65
KZ_0002,5/5/2024,Kazakhstan,Astana,-5.6,43,0,83,None,Dfa,Semi-arid,Urban,-5.6,3.4,122,Spring,63608,0,60
KZ_0003,6/5/2024,Kazakhstan,Shymkent,0.4,35,0,63,Flood,Dfa,Continental,Steppe,0.4,2.3,254,Spring,385798,0,59
KZ_0004,7/5/2024,Kazakhstan,Almaty,-2.1,70,11.8,63,None,BSk,Semi-arid,Steppe,-2.1,11.0,36,Spring,231661,0,38
KZ_0005,8/5/2024,Kazakhstan,Astana,-3.6,85,0,79,None,BSk,Semi-arid,Grassland,-3.6,4.3,356,Spring,155356,40720,52
KZ_0006,9/5/2024,Kazakhstan,Shymkent,1.1,49,0,109,None,Dfa,Continental,Steppe,1.1,14.5,261,Spring,73249,36736,65
KZ_0007,10/5/2024,Kazakhstan,Almaty,1.3,44,0,114,None,Dfa,Continental,Steppe,1.3,10.0,206,Spring,143483,22777,56
KZ_0008,11/5/2024,Kazakhstan,Astana,-2.4,68,0,103,None,BSk,Continental,Grassland,-2.4,8.3,125,Spring,98140,42026,58
KZ_0009,12/5/2024,Kazakhstan,Shymkent,-2.6,41,0,84,None,BSk,,Steppe,-2.6,7.1,278,,105123,0,55
KZ_0010,13/5/2024,Kazakhstan,Almaty,-5.7,75,3.4,68,None,BSk,Semi-arid,Steppe,-5.7,4.0,25,Spring,120517,0,51
KZ_0011,14/5/2024,Kazakhstan,Astana,-1.6,85,0,89,None,Dfa,Continental,Grassland,-1.6,8.4,180,Spring,156073,0,39
KZ_0012,15/5/2024,Kazakhstan,Shymkent,-3.8,72,24.0,82,None,Dfa,Continental,Steppe,-3.8,5.1,22,Spring,71725,0,57
KZ_0013,16/5/2024,Kazakhstan,Almaty,-3.8,73,0,107,None,Dfa,Continental,Steppe,-3.8,14.4,113,Spring,202991,37489,41
KZ_0014,2024-05-17,Kazakhstan,Astana,-6.1,76,0,96,None,Dfa,Semi-arid,Steppe,-6.1,9.4,91,Spring,91743,0,56
KZ_0015,18/5/2024,Kazakhstan,Shymkent,2.0,41,0,109,None,BSk,Continental,Steppe,2.0,8.4,330,Spring,79838,0,35
KZ_0016,19/5/2024,Kazakhstan,Almaty,0.3,84,3.4,88,None,Dfa,Semi-arid,Steppe,0.3,14.4,124,Spring,269946,0,56
KZ_0017,20/5/2024,Kazakhstan,Astana,1.8,73,0,77,Flood,BSk,Semi-arid,Steppe,NA,9.8,70,Spring,176740,4336945,66
KZ_0018,21/5/2024,Kazakhstan,Shymkent,-6.9,76,0.5,89,None,Dfa,Semi-arid,Grassland,-6.9,13.2,322,Spring,51052,0,53
KZ_0019,22/5/2024,Kazakhstan,Almaty,-7.4,46,3.6,84,None,BSk,Semi-arid,Urban,-7.4,6.6,24,Spring,178985,0,35
KZ_0020,23/5/2024,Kazakhstan,Astana,-0.3,80,0,109,None,Dfa,Semi-arid,Steppe,-0.3,8.6,118,Spring,82414,0,53
KZ_0021,24/5/2024,Kazakhstan,Shymkent,-3.0,46,5.0,103,None,BSk,Semi-arid,Urban,-3.0,4.7,348,Spring,133602,0,54
KZ_0022,25/5/2024,Kazakhstan,Almaty,-2.5,68,3.3,100,None,Dfa,Continental,Urban,-2.5,10.2,23,Spring,192742,0,50
KZ_0023,26/5/2024,Kazakhstan,Astana,-3.5,79,0,76,None,Dfa,Semi-arid,Steppe,-3.5,8.4,311,Spring,121032,0,47
KZ_0024,27/5/2024,Kazakhstan,Shymkent,-3.6,67,0,58,Flood,Dfa,Semi-arid,Grassland,-3.6,10.9,146,Spring,282121,3840714,55
KZ_0025,28/5/2024,Kazakhstan,Almaty,-2.5,77,10.7,70,None,BSk,Semi-arid,Steppe,-2.5,11.6,185,Spring,152124,0,40
KZ_0026,29/5/2024,Kazakhstan,Astana,-1.6,73,4.0,,None,Dfa,Continental,Urban,-1.6,3.3,115,Spring,169249,0,58
KZ_0027,30/5/2024,Kazakhstan,Shymkent,-5.2,40,0,66,Flood,Dfa,Semi-arid,Steppe,-5.2,14.1,335,Spring,200225,0,50
KZ_0028,31/5/2024,Kazakhstan,Almaty,1.0,,0,76,None,NA,Semi-arid,Urban,1.0,7.2,357,Spring,134432,28899,58
KZ_0029,1/6/2024,Kazakhstan,Astana,30.3,46,0.9,85,None,BSk,NA,Grassland,30.9,2.0,54,Summer,174900,0,43
KZ_0030,2/6/2024,Kazakhstan,Shymkent,31.4,65,1.7,70,Drought,BSk,Continental,Steppe,37.1,7.9,339,NA,348337,388957,78
KZ_0031,3/6/2024,Kazakhstan,Almaty,30.4,82,,87,None,BSk,Continental,Urban,39.5,,48,Summer,209744,0,58
KZ_0032,2024-06-04,Kazakhstan,Astana,33.0,43,0,73,None,BSk,Continental,Grassland,34.5,9.6,149,Summer,121701,0,36
KZ_0033,5/6/2024,Kazakhstan,Shymkent,25.9,66,0,62,None,Dfa,Semi-arid,Grassland,25.9,2.9,19,Summer,100815,0,49
KZ_0034,6/6/2024,Kazakhstan,Almaty,27.4,41,0.5,97,None,Dfa,Semi-arid,Grassland,27.2,2.6,143,Summer,,27597,64
KZ_0035,7/6/2024,Kazakhstan,Astana,NA,43,2.1,83,None,Dfa,,Urban,31.1,,271,Summer,149475,0,57
KZ_0036,8/6/2024,Kazakhstan,Shymkent,25.4,46,19.1,78,None,BSk,NA,Urban,25.4,NA,240,Summer,87825,0,
