Record ID,Date,Country,City,Temperature (°C),Humidity (%),Precipitation (mm),Air Quality Index (AQI),Extreme Weather Events,Climate Classification,Climate_Zone,Biome_Type,Heat_Index,Wind_Speed,Wind_Direction,Season,Population_Exposure,Economic_Impact_Estimate,Infrastructure_Vulnerability_Score
RU_0001,4/5/2024,Russia,Moscow,-4.7,74,0,80,Dust Storm,Dfb,Continental,Urban,-4.7,6.1,224,Spring,2840727,321124,34
RU_0002,5/5/2024,Russia,Saint Petersburg,2.2,46,3.4,85,None,Dfc,Continental,Taiga,2.2,13.4,161,Spring,282752,0,52
RU_0003,6/5/2024,Russia,Kazan,,66,NA,NA,None,Dfb,Subarctic,Forest,0.1,8.1,137,Spring,107043,0,49
RU_0004,7/5/2024,Russia,Moscow,-5.6,45,0,83,None,Dfc,Continental,Urban,-5.6,3.5,130,Spring,1374119,0,51
RU_0005,8/5/2024,Russia,Saint Petersburg,-0.5,54,0,87,None,Dfb,Continental,Taiga,-0.5,6.7,208,Spring,629079,0,59
RU_0006,9/5/2024,Russia,Kazan,0.9,78,0,91,None,Dfc,Continental,Urban,0.9,3.4,134,Spring,177020,0,41
RU_0007,10/5/2024,Russia,Moscow,2.0,41,1.6,103,Flood,Dfb,Continental,Forest,2.0,14.0,279,Spring,2445340,15375,70
RU_0008,11/5/2024,Russia,Saint Petersburg,-0.9,69,3.6,85,None,Dfc,Subarctic,Urban,-0.9,3.0,92,Spring,303866,0,58
RU_0009,12/5/2024,Russia,Kazan,-7.4,60,0,77,None,Dfb,Subarctic,Urban,-7.4,14.5,164,Spring,82324,19517,64
RU_0010,13/5/2024,Russia,Moscow,2.0,44,28.4,107,None,Dfc,Continental,Urban,2.0,3.0,268,Spring,1442995,0,47
RU_0011,14/5/2024,Russia,Saint Petersburg,-7.0,82,2.2,104,None,Dfb,Continental,Forest,-7.0,,335,Spring,703246,0,58
RU_0012,15/5/2024,Russia,Kazan,-2.8,81,0,55,None,Dfc,Subarctic,Taiga,-2.8,8.8,230,Spring,166814,0,58
RU_0013,16/5/2024,Russia,Moscow,-3.1,78,0,62,None,Dfc,Continental,Forest,-3.1,7.2,328,Spring,979458,45653,53
RU_0014,17/5/2024,Russia,Saint Petersburg,-3.7,79,0,56,None,Dfb,Subarctic,Forest,-3.7,4.0,288,Spring,325868,0,42
RU_0015,18/5/2024,Russia,Kazan,1.0,47,2.1,105,None,Dfb,Subarctic,Forest,1.0,12.1,319,Spring,126446,0,64
RU_0016,19/5/2024,Russia,Moscow,-6.7,44,0,106,None,Dfc,Subarctic,Forest,-6.7,3.4,142,Spring,1219045,0,62
RU_0017,20/5/2024,Russia,Saint Petersburg,-5.3,74,0,56,None,Dfc,Subarctic,Forest,-5.3,5.7,286,Spring,594753,0,42
RU_0018,21/5/2024,Russia,Kazan,-0.7,53,1.6,109,None,Dfb,Continental,Urban,-0.7,3.2,8,Spring,134079,29465,50
RU_0019,22/5/2024,Russia,Moscow,1.8,40,0.9,84,None,,Subarctic,Taiga,1.8,5.3,324,,1071323,0,52
RU_0020,23/5/2024,Russia,Saint Petersburg,-5.9,74,1.9,115,Flood,Dfb,Continental,Forest,-5.9,6.1,8,Spring,1118123,596984,43
RU_0021,24/5/2024,Russia,Kazan,2.5,71,0,74,Flood,Dfc,Subarctic,Forest,2.5,9.2,57,Spring,378282,0,81
RU_0022,25/5/2024,Russia,Moscow,-3.7,74,0,95,Storm,Dfc,Subarctic,Forest,-3.7,22.4,81,Spring,2368340,7094,84
RU_0023,26/5/2024,Russia,Saint Petersburg,-1.9,37,0,95,None,Dfc,Continental,Forest,-1.9,9.6,147,NA,"530,286",0,62
RU_0024,27/5/2024,Russia,Kazan,0.2,59,4.7,108,None,Dfc,Continental,Forest,0.2,11.5,119,Spring,88695,0,59
RU_0025,28/5/2024,Russia,Moscow,-2.9,35,4.8,99,None,Dfb,Continental,Forest,-2.9,4.6,255,Spring,1045605,0,53
RU_0026,29/5/2024,Russia,Saint Petersburg,-6.6,37,4.9,88,None,Dfc,Subarctic,Taiga,-6.6,2.2,193,Spring,331439,0,51
RU_0027,30/5/2024,Russia,Kazan,-6.4,83,3.2,71,Storm,Dfc,Subarctic,Forest,-6.4,27.2,39,Spring,279088,1409811,42
RU_0028,31/5/2024,Russia,Moscow,-3.5,82,2.0,66,None,Dfb,Subarctic,Forest,-3.5,4.6,360,Spring,1487353,0,55
RU_0029,1/6/2024,Russia,Saint Petersburg,24.6,47,2.2,113,None,Dfb,Continental,Taiga,24.6,9.5,292,Summer,687908,0,62
RU_0030,2/6/2024,Russia,Kazan,20.5,,1.9,94,None,Dfc,Subarctic,Forest,20.5,2.1,,Summer,173864,0,
RU_0031,3/6/2024,Russia,Moscow,22.6,68,2.3,97,None,Dfc,Subarctic,Taiga,22.6,3.6,74,Summer,767352,0,47
RU_0032,4/6/2024,Russia,Saint Petersburg,,NA,0,89,None,Dfc,Continental,Forest,31.5,14.0,326,Summer,560360,0,44
RU_0033,5/6/2024,Russia,Kazan,27.7,72,0,93,None,Dfb,Continental,Forest,30.3,10.3,126,Summer,162498,48579,61
RU_0034,6/6/2024,Russia,Moscow,26.7,83,0,110,Heatwave,Dfc,Continental,Urban,26.7,9.4,342,Summer,3169321,36889,49
RU_0035,7/6/2024,Russia,Saint Petersburg,20.4,56,0,113,None,Dfb,Continental,Taiga,20.4,3.3,93,Summer,572166,0,65
RU_0036,8/6/2024,Russia,Kazan,24.1,63,0,61,None,Dfc,Subarctic,Forest,24.1,8.8,9,Summer,98349,0,36
RU_0037,9/6/2024,Russia,Moscow,28.5,74,0,105,,Dfb,Continental,NA,32.3,12.6,292,Summer,1820702,0,40
RU_0038,10/6/2024,Russia,Saint Petersburg,24.9,40,0,114,None,Dfc,Subarctic,Taiga,24.9,7.3,110,Summer,572510,0,37
RU_0039,11/6/2024,Russia,Kazan,21.8,54,10.8,95,None,Dfc,Subarctic,Forest,21.8,10.6,88,Summer,"158,781","46,082",41
RU_0040,2024-06-12,Russia,Moscow,26.3,67,0,84,Drought,Dfb,Continental,Taiga,26.3,13.2,138,Summer,"2,508,531","174,873",58
RU_0041,13/6/2024,Russia,Saint Petersburg,20.3,42,4.0,112,None,Dfc,Continental,Urban,20.3,13.2,113,Summer,285325,0,58
RU_0042,14/6/2024,Russia,Kazan,27.0,41,0,95,None,Dfb,Continental,Forest,26.9,11.1,351,Summer,133853,0,53
RU_0043,15/6/2024,Russia,Moscow,20.9,77,3.7,88,None,Dfb,Continental,Taiga,20.9,5.9,176,Summer,1082103,0,46
RU_0044,16/6/2024,Russia,Saint Petersburg,20.3,49,0,73,None,Dfc,Continental,Forest,20.3,7.1,316,Summer,738080,34615,50
RU_0045,17/6/2024,Russia,Kazan,22.1,65,0,63,Heatwave,Dfc,Subarctic,Taiga,22.1,3.5,76,Summer,256067,0,53
RU_0046,18/6/2024,Russia,Moscow,25.9,76,0,74,None,Dfb,NA,Taiga,25.9,6.7,NA,Summer,1384311,0,37
RU_0047,19/6/2024,Russia,Saint Petersburg,20.6,43,0,88,None,Dfc,Subarctic,Urban,20.6,10.7,303,Summer,375933,0,54
RU_0048,20/6/2024,Russia,Kazan,22.9,82,0,53,None,Dfc,Subarctic,,22.9,2.6,155,,120110,0,47
RU_0049,21/6/2024,Russia,Moscow,27.5,64,0,113,None,Dfc,Continental,Urban,29.1,14.0,127,Summer,1746839,0,49
RU_0050,22/6/2024,Russia,Saint Petersburg,28.0,42,15.7,93,None,Dfb,Subarctic,Taiga,27.8,11.5,200,Summer,575292,0,51
RU_0051,23/6/2024,Russia,Kazan,24.0,63,NA,65,None,Dfc,Subarctic,Forest,24.0,5.7,NA,Summer,,39428,62
RU_0052,24/6/2024,Russia,Moscow,26.6,41,3.4,70,None,Dfb,Subarctic,Urban,26.6,6.7,183,Summer,984015,40689,42
RU_0053,25/6/2024,Russia,Saint Petersburg,25.3,71,0,102,Drought,Dfc,Continental,Urban,25.3,3.7,204,Summer,674676,1805467,69
RU_0054,26/6/2024,Russia,Kazan,26.7,64,0,108,None,Dfb,Continental,Urban,26.7,14.9,275,Summer,129062,0,61
RU_0055,27/6/2024,Russia,Moscow,26.0,73,0,100,None,Dfb,Subarctic,Forest,26.0,4.6,269,Summer,1771555,0,37
RU_0056,28/6/2024,Russia,Saint Petersburg,22.2,78,0,102,None,Dfc,Subarctic,Urban,22.2,6.1,253,Summer,458557,0,55
RU_0057,29/6/2024,Russia,Kazan,30.2,80,0,105,None,Dfb,Subarctic,Urban,38.3,10.8,193,Summer,187282,49002,60
RU_0058,30/6/2024,Russia,Moscow,23.0,69,0,120,None,Dfc,Subarctic,Urban,23.0,13.1,274,Summer,1679086,4017,43
RU_0059,1/7/2024,Russia,Saint Petersburg,25.4,53,0,80,None,Dfb,Continental,Taiga,25.4,10.4,253,Summer,800912,0,64
RU_0060,2/7/2024,Russia,Kazan,24.1,82,0,92,None,Dfc,Subarctic,Urban,24.1,13.2,337,Summer,94016,0,42
RU_0061,3/7/2024,Russia,Moscow,21.6,65,3.0,64,None,Dfb,Subarctic,Forest,,4.9,131,Summer,1124823,0,57
RU_0062,4/7/2024,Russia,Saint Petersburg,22.0,NA,7.7,66,None,Dfb,Subarctic,Forest,22.0,2.3,137,NA,473368,0,60
RU_0063,5/7/2024,Russia,Kazan,24.5,83,1.4,53,Heatwave,Dfb,Continental,Taiga,24.5,2.3,102,Summer,383697,3997577,86
RU_0064,6/7/2024,Russia,Moscow,27.4,42,1.5,86,None,Dfc,Subarctic,Taiga,27.3,13.3,214,Summer,1548079,0,43
RU_0065,7/7/2024,Russia,Saint Petersburg,25.5,65,2.1,105,None,Dfc,Continental,Urban,25.5,2.4,177,Summer,355630,28901,45
RU_0066,8/7/2024,Russia,Kazan,20.4,77,0,87,None,Dfc,Subarctic,Forest,20.4,11.5,354,Summer,90797,0,56
RU_0067,9/7/2024,Russia,Moscow,20.7,58,0,64,None,Dfb,Continental,Urban,20.7,7.6,301,Summer,1554123,44637,55
RU_0068,10/7/2024,Russia,Saint Petersburg,25.6,49,3.2,99,None,Dfc,Continental,Forest,25.6,12.8,20,Summer,501964,0,35
RU_0069,11/7/2024,Russia,Kazan,20.8,72,0,59,None,Dfc,Continental,Urban,20.8,2.0,8,Summer,63036,0,45
RU_0070,12/7/2024,Russia,Moscow,27.4,52,0,102,Heatwave,Dfb,NA,Forest,28.0,14.0,146,Summer,2146294,391511,72
RU_0071,13/7/2024,Russia,Saint Petersburg,NA,57,0,71,None,Dfb,Subarctic,Urban,22.8,6.2,323,Summer,680268,0,40
RU_0072,14/7/2024,Russia,Kazan,20.4,64,0,56,None,Dfb,Continental,Urban,20.4,14.8,230,Summer,134887,12769,35
RU_0073,15/7/2024,Russia,Moscow,22.8,36,0,80,None,Dfc,Subarctic,Forest,22.8,9.3,58,Summer,1084775,0,46
RU_0074,16/7/2024,Russia,Saint Petersburg,26.4,74,1.6,77,None,Dfc,Continental,Forest,26.4,15.0,216,Summer,527703,25992,59
RU_0075,17/7/2024,Russia,Kazan,27.0,,0,64,None,Dfc,Continental,Forest,,5.9,322,NA,180673,0,53
RU_0076,18/7/2024,Russia,Moscow,23.9,38,0,88,None,Dfb,Continental,Urban,23.9,10.4,107,Summer,822887,0,60
RU_0077,19/7/2024,Russia,Saint Petersburg,23.5,71,4.2,88,None,Dfb,Continental,Urban,23.5,8.3,21,Summer,283730,0,54
RU_0078,20/7/2024,Russia,Kazan,27.9,68,4.0,111,None,Dfc,Continental,Urban,30.2,14.5,,NA,69868,0,NA
RU_0079,21/7/2024,Russia,Moscow,21.4,45,0,107,None,Dfc,Subarctic,Urban,21.4,,261,Summer,992710,18185,44
RU_0080,22/7/2024,Russia,Saint Petersburg,26.1,42,0,100,None,Dfb,Continental,Forest,26.1,14.1,349,Summer,741832,0,41
RU_0081,23/7/2024,Russia,Kazan,29.0,78,0,101,Drought,Dfc,Subarctic,Urban,34.3,12.3,233,Summer,308048,116467,59
RU_0082,24/7/2024,Russia,Moscow,22.6,74,23.8,81,None,Dfb,Subarctic,Urban,22.6,6.3,271,Summer,1773757,0,53
RU_0083,25/7/2024,Russia,Saint Petersburg,NA,82,0,81,None,Dfc,Continental,Forest,26.9,14.2,185,NA,677235,0,35
RU_0084,26/7/2024,Russia,Kazan,20.3,52,7.7,89,None,Dfb,Continental,Urban,20.3,10.0,217,Summer,73943,12556,53
RU_0085,27/7/2024,Russia,Moscow,22.6,67,0,84,None,Dfb,Continental,Taiga,22.6,13.4,160,Summer,1420227,0,54
RU_0086,28/7/2024,Russia,Saint Petersburg,28.0,64,0,103,None,Dfb,Subarctic,Taiga,29.9,13.6,236,Summer,398789,0,36
RU_0087,29/7/2024,Russia,Kazan,30.0,85,0,98,None,Dfb,Subarctic,Forest,39.1,7.9,38,Summer,184318,0,39
RU_0088,30/7/2024,Russia,Moscow,23.3,62,2.7,91,None,Dfc,Subarctic,Urban,23.3,14.7,349,Summer,1835968,0,57
RU_0089,31/7/2024,Russia,Saint Petersburg,28.8,64,0,106,None,Dfb,Subarctic,Forest,31.3,5.5,324,Summer,774420,0,54
RU_0090,1/8/2024,Russia,Kazan,22.6,83,7.0,77,None,Dfb,Continental,Urban,22.6,3.4,271,Summer,127553,0,40
RU_0091,2/8/2024,Russia,Moscow,23.1,37,0,103,None,Dfc,Continental,Taiga,23.1,9.6,62,Summer,1755630,0,35
RU_0092,3/8/2024,Russia,Saint Petersburg,29.0,64,0,115,None,Dfb,Subarctic,Forest,31.7,7.3,325,Summer,669055,0,48
RU_0093,4/8/2024,Russia,Kazan,21.3,47,0,99,None,Dfb,Continental,Forest,21.3,14.8,32,Summer,140067,0,43
RU_0094,5/8/2024,Russia,Moscow,29.8,43,1.6,121,None,Dfc,Subarctic,Forest,29.8,4.7,202,Summer,1864947,0,59
RU_0095,6/8/2024,Russia,Saint Petersburg,23.3,75,24.6,,None,Dfc,Continental,Forest,23.3,6.9,300,NA,767354,27170,42
RU_0096,7/8/2024,Russia,Kazan,30.0,43,0.5,96,None,Dfb,Subarctic,Urban,NA,7.0,186,Summer,127184,0,40
RU_0097,8/8/2024,Russia,Moscow,24.1,35,2.9,120,None,Dfc,Subarctic,Urban,24.1,11.0,59,Summer,1550051,1896,42
RU_0098,9/8/2024,Russia,Saint Petersburg,28.0,64,15.7,90,None,Dfb,Subarctic,Urban,29.9,7.1,343,Summer,319977,0,57
RU_0099,10/8/2024,Russia,Kazan,26.7,82,0,55,None,Dfc,Subarctic,Urban,26.7,3.6,196,Summer,121764,0,37
RU_0100,11/8/2024,Russia,Moscow,25.0,77,2.0,77,NA,Dfb,Continental,Forest,25.0,12.1,254,Summer,1420030,0,54
RU_0101,12/8/2024,Russia,Saint Petersburg,22.9,50,22.1,110,None,Dfb,Continental,Urban,22.9,14.6,338,Summer,378034,0,46
RU_0101,12/8/2024,Russia,Saint Petersburg,22.9,50,22.1,110,None,Dfb,Continental,Urban,22.9,14.6,338,Summer,378034,0,46
RU_0102,13/8/2024,Russia,Kazan,20.5,48,0,77,None,Dfb,Subarctic,Forest,20.5,11.7,332,Summer,71668,0,46
RU_0103,14/8/2024,Russia,Moscow,28.5,70,NA,97,None,Dfc,Subarctic,Taiga,31.7,5.2,138,Summer,"788,063",0,
RU_0104,15/8/2024,Russia,Saint Petersburg,20.7,67,25.6,100,None,Dfc,Continental,Forest,20.7,12.0,240,Summer,645143,0,58
RU_0105,16/8/2024,Russia,Kazan,24.8,58,1.3,84,None,Dfc,Continental,Taiga,24.8,5.8,235,Summer,176449,14517,39
