Record ID,Date,Country,City,Temperature (°C),Humidity (%),Precipitation (mm),Air Quality Index (AQI),Extreme Weather Events,Climate Classification,Climate_Zone,Biome_Type,Heat_Index,Wind_Speed,Wind_Direction,Season,Population_Exposure,Economic_Impact_Estimate,Infrastructure_Vulnerability_Score
TR_0001,4/5/2024,Turkey,Ankara,7.5,43,0,95,None,Csa,Mediterranean,Forest,7.5,9.9,115,Spring,480206,21757,49
TR_0002,5/5/2024,Turkey,Istanbul,7.9,74,42.9,116,None,BSk,Temperate,Forest,7.9,6.9,91,Spring,1397274,0,56
TR_0003,6/5/2024,Turkey,Izmir,12.2,97,9.6,105,None,Csa,Mediterranean,Shrubland,12.2,14.2,316,Spring,498307,0,47
TR_0004,7/5/2024,Turkey,Ankara,8.0,69,1.5,,None,Cfb,Temperate,Shrubland,8.0,7.4,24,Spring,783093,39936,60
TR_0005,8/5/2024,Turkey,Istanbul,13.4,99,1.1,109,,Csa,Mediterranean,NA,13.4,6.6,,Spring,952983,0,63
TR_0006,9/5/2024,Turkey,Izmir,6.8,96,0,83,Flood,Csa,Temperate,Shrubland,6.8,7.3,358,Spring,780986,433612,92
TR_0007,10/5/2024,Turkey,Ankara,10.5,,0,72,None,Csa,Mediterranean,Urban,10.5,12.1,26,Spring,NA,0,54
TR_0008,11/5/2024,Turkey,Istanbul,10.1,82,0,70,Storm,Cfb,Temperate,Urban,10.1,34.1,132,Spring,2894089,0,70
TR_0009,2024-05-12,Turkey,Izmir,12.6,82,0,93,None,Cfb,Temperate,,12.6,6.9,NA,Spring,485540,0,40
TR_0010,13/5/2024,Turkey,Ankara,7.6,42,0,94,None,Cfb,Temperate,Shrubland,7.6,10.7,320,Spring,344046,0,42
TR_0011,14/5/2024,Turkey,Istanbul,8.1,78,1.6,116,None,Cfb,Temperate,Shrubland,8.1,10.4,81,Spring,1892553,0,43
TR_0012,15/5/2024,Turkey,Izmir,12.3,98,0,97,None,Cfb,Mediterranean,Urban,12.3,12.3,172,Spring,447212,0,53
TR_0013,16/5/2024,Turkey,Ankara,7.7,63,0,105,None,Csa,Mediterranean,Urban,7.7,7.4,212,Spring,712346,5574,55
TR_0014,17/5/2024,Turkey,Istanbul,11.8,92,0,75,None,Cfb,Temperate,Urban,11.8,9.0,121,Spring,1565257,0,60
TR_0015,18/5/2024,Turkey,Izmir,13.1,60,7.2,59,None,BSk,Temperate,Urban,13.1,14.0,280,Spring,,19418,55
