Record ID,Date,Country,City,Temperature (°C),Humidity (%),Precipitation (mm),Air Quality Index (AQI),Extreme Weather Events,Climate Classification,Climate_Zone,Biome_Type,Heat_Index,Wind_Speed,Wind_Direction,Season,Population_Exposure,Economic_Impact_Estimate,Infrastructure_Vulnerability_Score
TM_0001,4/5/2024,Turkmenistan,Ashgabat,14.4,60,4.0,68,Storm,BWk,Desert,Desert,14.4,34.8,109,Spring,386930,4676036,94
TM_0002,5/5/2024,Turkmenistan,Turkmenabat,18.7,73,2.5,65,None,BWk,Arid,Steppe,18.7,7.3,7,Spring,26611,0,51
TM_0003,6/5/2024,Turkmenistan,Dashoguz,19.5,47,0,57,Storm,BWk,Arid,Steppe,19.5,29.0,241,Spring,60063,0,45
TM_0004,7/5/2024,Turkmenistan,Ashgabat,17.6,,,90,None,BWk,Arid,Steppe,17.6,11.3,26,Spring,97796,0,39
TM_0005,8/5/2024,Turkmenistan,Turkmenabat,17.7,65,0,88,None,NA,Arid,Steppe,17.7,2.1,137,Spring,17346,5541,61
TM_0006,9/5/2024,Turkmenistan,Dashoguz,15.4,84,1.2,78,None,BWk,Desert,Desert,15.4,8.5,19,Spring,34214,0,49
TM_0007,10/5/2024,Turkmenistan,Ashgabat,14.9,55,0,94,None,BWk,Arid,Steppe,14.9,7.0,140,Spring,112398,0,40
TM_0008,11/5/2024,Turkmenistan,Turkmenabat,12.2,,11.4,46,None,BWk,Arid,Steppe,12.2,14.1,212,Spring,22536,0,45
TM_0009,12/5/2024,Turkmenistan,Dashoguz,19.8,69,4.0,51,None,BWk,Arid,Desert,19.8,3.5,227,Spring,14877,0,63
TM_0010,13/5/2024,Turkmenistan,Ashgabat,10.8,44,0,87,NA,BWk,Desert,Desert,,8.9,262,Spring,92079,0,46
TM_0011,14/5/2024,Turkmenistan,Turkmenabat,15.5,49,0,54,None,BWk,Arid,Desert,15.5,8.4,238,Spring,32471,0,41
TM_0012,15/5/2024,Turkmenistan,Dashoguz,15.3,37,7.4,65,None,BWk,Desert,Steppe,15.3,14.3,14,Spring,34552,0,43
TM_0013,16/5/2024,Turkmenistan,Ashgabat,12.9,72,0,108,,BWk,Arid,Steppe,12.9,6.1,NA,Spring,100845,4167,49
TM_0014,17/5/2024,Turkmenistan,Turkmenabat,15.5,61,0,72,None,BWk,Desert,Steppe,,11.2,177,Spring,29106,0,51
